participant_id,video_1,baseline_1,baseline_2,video_2,video_3,video_4,video_5,video_6,video_7,video_8,video_9,video_10,video_11,video_12,video_13,video_14,video_15,video_16,video_17,video_18,video_19,video_20,video_21,video_22,video_23,video_24,video_25,video_26,video_27,video_28,video_29,video_30,video_31,video_32,video_33,video_34,video_35,video_36,video_37,video_38,video_39,video_40
111,48.0,34.0,75.0,28.0,31.0,33.0,78.0,4.0,2.0,80.0,0.0,6.0,16.0,63.0,59.0,20.0,65.0,30.0,42.0,47.0,41.0,46.0,7.0,100.0,82.0,86.0,57.0,71.0,70.0,76.0,86.0,100.0,0.0,8.0,5.0,6.0,17.0,0.0,12.0,29.0,15.0,0.0
112,51.0,68.0,41.0,54.0,60.0,40.0,51.0,50.0,21.0,52.0,80.0,51.0,90.0,90.0,96.0,95.0,94.0,81.0,100.0,80.0,90.0,91.0,91.0,52.0,50.0,40.0,100.0,62.0,80.0,80.0,71.0,10.0,20.0,10.0,10.0,11.0,10.0,40.0,11.0,22.0,21.0,20.0
113,66.0,61.0,31.0,91.0,89.0,80.0,87.0,80.0,32.0,90.0,75.0,84.0,52.0,70.0,58.0,51.0,61.0,53.0,76.0,31.0,50.0,49.0,32.0,42.0,78.0,83.0,60.0,85.0,81.0,72.0,72.0,38.0,75.0,42.0,73.0,59.0,29.0,41.0,45.0,79.0,66.0,62.0
114,100.0,81.0,100.0,100.0,57.0,100.0,100.0,42.0,55.0,61.0,63.0,57.0,100.0,100.0,100.0,97.0,100.0,73.0,100.0,92.0,100.0,75.0,100.0,100.0,47.0,100.0,100.0,98.0,98.0,98.0,94.0,100.0,23.0,81.0,70.0,52.0,56.0,88.0,94.0,54.0,72.0,71.0
115,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,86.0,100.0,100.0,85.0,100.0,100.0,100.0,100.0,100.0,83.0,100.0,100.0,100.0,88.0,57.0,100.0,100.0,87.0,100.0,100.0,100.0,100.0,100.0,81.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
116,100.0,82.0,100.0,75.0,48.0,33.0,44.0,78.0,73.0,51.0,63.0,77.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,84.0,74.0,70.0,59.0,84.0,100.0,59.0,100.0,80.0,93.0
117,31.0,0.0,0.0,26.0,82.0,53.0,96.0,75.0,32.0,27.0,14.0,22.0,51.0,59.0,67.0,61.0,67.0,75.0,85.0,0.0,75.0,75.0,100.0,27.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,62.0,76.0,67.0,62.0,80.0,75.0,71.0,81.0,85.0,90.0,61.0
118,18.0,2.0,0.0,65.0,64.0,57.0,69.0,24.0,30.0,17.0,38.0,40.0,77.0,69.0,75.0,67.0,62.0,44.0,53.0,49.0,38.0,40.0,71.0,13.0,69.0,70.0,83.0,70.0,91.0,84.0,85.0,47.0,44.0,64.0,66.0,76.0,67.0,78.0,58.0,75.0,85.0,67.0
120,29.0,30.0,100.0,49.0,73.0,82.0,32.0,30.0,30.0,49.0,71.0,63.0,100.0,100.0,100.0,100.0,100.0,86.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,54.0,100.0,100.0,100.0,100.0,100.0,52.0,27.0,24.0,30.0,25.0,36.0,29.0,54.0,51.0,56.0
121,50.0,77.0,92.0,57.0,76.0,63.0,82.0,90.0,51.0,61.0,60.0,65.0,75.0,92.0,95.0,96.0,95.0,83.0,91.0,70.0,80.0,96.0,0.0,36.0,81.0,70.0,88.0,81.0,92.0,74.0,90.0,100.0,51.0,49.0,47.0,70.0,26.0,49.0,37.0,58.0,71.0,47.0
122,73.0,62.0,20.0,75.0,85.0,94.0,87.0,65.0,86.0,69.0,75.0,77.0,92.0,93.0,98.0,100.0,96.0,88.0,89.0,93.0,96.0,88.0,15.0,20.0,75.0,88.0,81.0,94.0,57.0,90.0,65.0,74.0,22.0,82.0,40.0,86.0,74.0,79.0,79.0,79.0,84.0,41.0
123,40.0,18.0,14.0,50.0,81.0,50.0,92.0,39.0,32.0,32.0,40.0,31.0,100.0,100.0,100.0,100.0,100.0,75.0,90.0,84.0,95.0,97.0,100.0,100.0,80.0,100.0,100.0,84.0,100.0,100.0,100.0,100.0,22.0,22.0,24.0,36.0,34.0,19.0,30.0,33.0,35.0,26.0
124,28.0,0.0,100.0,24.0,37.0,62.0,45.0,39.0,40.0,28.0,50.0,43.0,90.0,88.0,89.0,90.0,92.0,88.0,91.0,91.0,90.0,91.0,91.0,83.0,82.0,84.0,49.0,81.0,92.0,81.0,90.0,75.0,49.0,55.0,62.0,56.0,55.0,48.0,42.0,53.0,65.0,52.0
125,5.0,0.0,0.0,77.0,17.0,83.0,74.0,13.0,40.0,0.0,19.0,6.0,94.0,68.0,90.0,50.0,92.0,51.0,80.0,50.0,49.0,51.0,91.0,25.0,81.0,90.0,77.0,88.0,82.0,86.0,82.0,7.0,13.0,14.0,8.0,10.0,73.0,78.0,75.0,52.0,45.0,13.0
126,50.0,30.0,20.0,90.0,15.0,50.0,85.0,0.0,30.0,75.0,15.0,25.0,90.0,95.0,100.0,100.0,100.0,75.0,65.0,40.0,100.0,100.0,80.0,100.0,99.0,100.0,80.0,75.0,100.0,90.0,100.0,100.0,0.0,60.0,25.0,15.0,10.0,60.0,70.0,80.0,35.0,0.0
127,49.0,20.0,26.0,49.0,33.0,39.0,41.0,25.0,61.0,50.0,61.0,70.0,86.0,91.0,95.0,90.0,94.0,85.0,90.0,79.0,96.0,96.0,90.0,100.0,56.0,51.0,44.0,46.0,42.0,45.0,43.0,100.0,69.0,71.0,61.0,51.0,49.0,75.0,46.0,51.0,52.0,76.0
128,14.0,15.0,0.0,21.0,19.0,13.0,26.0,13.0,16.0,15.0,10.0,12.0,93.0,89.0,89.0,87.0,88.0,91.0,87.0,84.0,89.0,84.0,90.0,71.0,21.0,88.0,89.0,88.0,80.0,82.0,83.0,80.0,8.0,12.0,13.0,15.0,33.0,12.0,13.0,15.0,18.0,10.0
