,"No yielding, eHMI off, Distance 1, Can see other person","No yielding, eHMI off, Distance 1, Cannot see other person","No yielding, eHMI off, Distance 2, Can see other person","No yielding, eHMI off, Distance 2, Cannot see other person","No yielding, eHMI off, Distance 3, Can see other person","No yielding, eHMI off, Distance 3, Cannot see other person","No yielding, eHMI off, Distance 4, Can see other person","No yielding, eHMI off, Distance 4, Cannot see other person","No yielding, eHMI off, Distance 5, Can see other person","No yielding, eHMI off, Distance 5, Cannot see other person","No yielding, eHMI on, Distance 1, Can see other person","No yielding, eHMI on, Distance 1, Cannot see other person","No yielding, eHMI on, Distance 2, Can see other person","No yielding, eHMI on, Distance 2, Cannot see other person","No yielding, eHMI on, Distance 3, Can see other person","No yielding, eHMI on, Distance 3, Cannot see other person","No yielding, eHMI on, Distance 4, Can see other person","No yielding, eHMI on, Distance 4, Cannot see other person","No yielding, eHMI on, Distance 5, Can see other person","No yielding, eHMI on, Distance 5, Cannot see other person","Yes yielding, eHMI off, Distance 1, Can see other person","Yes yielding, eHMI off, Distance 1, Cannot see other person","Yes yielding, eHMI off, Distance 2, Can see other person","Yes yielding, eHMI off, Distance 2, Cannot see other person","Yes yielding, eHMI off, Distance 3, Can see other person","Yes yielding, eHMI off, Distance 3, Cannot see other person","Yes yielding, eHMI off, Distance 4, Can see other person","Yes yielding, eHMI off, Distance 4, Cannot see other person","Yes yielding, eHMI off, Distance 5, Can see other person","Yes yielding, eHMI off, Distance 5, Cannot see other person","Yes yielding, eHMI on, Distance 1, Can see other person","Yes yielding, eHMI on, Distance 1, Cannot see other person","Yes yielding, eHMI on, Distance 2, Can see other person","Yes yielding, eHMI on, Distance 2, Cannot see other person","Yes yielding, eHMI on, Distance 3, Can see other person","Yes yielding, eHMI on, Distance 3, Cannot see other person","Yes yielding, eHMI on, Distance 4, Can see other person","Yes yielding, eHMI on, Distance 4, Cannot see other person","Yes yielding, eHMI on, Distance 5, Can see other person","Yes yielding, eHMI on, Distance 5, Cannot see other person"
"No yielding, eHMI on, Distance 1, Can see other person",0.9385201316542405,1.0051021842027617,0.9374966270493361,1.0425020571599655,0.9912021681917083,1.0665063434832882,1.0603161601084272,1.0742784455620449,1.009471340698503,0.9613391430936684,1.0,1.0536242303819103,1.0343337757554796,1.0873913266032076,1.0678985859712837,1.114935190322148,1.1081428491200653,0.9940983165985688,1.0500976264430444,1.03096685629623,0.8013188122126157,0.809982136990492,0.7855041393283614,0.8033232510737923,0.6824060209918453,0.7694082390107762,0.6895792466270693,0.8420455751365669,0.5930574151118272,0.8096234512516987,0.6549286551275935,0.7524214131016007,0.6013152496327423,0.6822625951176984,0.5555987149066058,0.7063806549609004,0.54643614393081,0.7321454649098935,0.5527181933000365,0.728855934456342
"No yielding, eHMI on, Distance 1, Cannot see other person",0.8907541271275171,0.953947484520586,0.8897827138139364,0.9894438900499534,0.9407549101565595,1.0122264776472618,1.0063513438031804,1.0196030184050038,0.9580942726920743,0.9124117644344693,0.9491049761047419,1.0,0.9816913335227319,1.0320485190522408,1.013547861920563,1.0581905371690383,1.0517438923347402,0.9435036590210488,0.9966528826528719,0.9784957735098142,0.7605356721173347,0.7687580767736287,0.7455258873874202,0.7624380950147752,0.6476749502471973,0.7302491883011142,0.6544830943923104,0.799189645469095,0.5628737437984508,0.768417646354082,0.6215960455751853,0.7141269073024908,0.5707112956341007,0.6475388240363423,0.5273215050352594,0.6704293946475174,0.5186252633282187,0.6948829039784997,0.5245875876446872,0.6917607942559858
"No yielding, eHMI on, Distance 2, Can see other person",0.9073668033017132,0.9717387247348013,0.9063772730080158,1.0078971426786483,0.958300107204497,1.031104628391652,1.025119922564619,1.0386187425595665,0.9759628510257077,0.9294283582603733,0.9668059029297366,1.0186501254030316,1.0,1.051296353354578,1.0324506566473557,1.077925923387542,1.0713590478186557,0.9611001205800105,1.0152405838976408,0.9967448423921085,0.7747197577758019,0.7830955113100502,0.759430038678402,0.7766576610988492,0.6597541692897098,0.743868427238392,0.6666892861768912,0.8140946325778978,0.5733714097063657,0.782748731820488,0.6331888897751909,0.7274454636773613,0.5813551328666033,0.6596155043079516,0.5371561172318823,0.682932986931572,0.5282976895264702,0.7078425572781214,0.5343712119391344,0.7046622198177606
"No yielding, eHMI on, Distance 2, Cannot see other person",0.8630932661436516,0.9243242608367122,0.8621520184254988,0.9587183856032151,0.9115413595287954,0.9807934985235169,0.9751008070118071,0.9879409732997184,0.9283422775238506,0.8840783621998339,0.9196321283192497,0.9689466934348475,0.9512065715904972,1.0,0.9820738494458888,1.0253302220139848,1.0190837668180428,0.9142047506521251,0.9657035151488093,0.948110244282308,0.7369185247373409,0.7448855965411403,0.7223748434541214,0.7387618711133306,0.6275625014626013,0.707572536387846,0.6341592302204364,0.7743721644046476,0.5453946528748024,0.7445557376117758,0.6022934330122526,0.6919509055236024,0.5529888228105797,0.6274306024207035,0.5109464286810019,0.6496103451252384,0.5025202340336545,0.6733044921343719,0.5082974084652829,0.6702793342422013
"No yielding, eHMI on, Distance 3, Can see other person",0.8788476209102104,0.9411962871817018,0.8778891922557016,0.9762182203956948,0.9281800549348814,0.9986962783673609,0.9928996760905343,1.0059742185958214,0.9452876461863281,0.9002157655441632,0.9364185074657365,0.9866332292439638,0.9685692905143459,1.0182533630889627,1.0,1.044045946842493,1.0376854728318405,0.9308920619034331,0.9833308520471082,0.9654164448195581,0.7503697661363544,0.7584822637945443,0.7355606137580221,0.7522467597830437,0.6390176276628159,0.7204881148063117,0.6457347689058672,0.7885070606875116,0.5553499395005049,0.7581463838303741,0.6132873137311231,0.7045813366418613,0.5630827285774793,0.6388833210198152,0.5202729193627251,0.6614679186211558,0.5116929183250214,0.6855945634987303,0.5175755456191785,0.6825141863011525
"No yielding, eHMI on, Distance 3, Cannot see other person",0.84177101933886,0.9014893358172222,0.8408530246304782,0.9350337725538523,0.8890222290905638,0.9565635318902554,0.9510114752069674,0.9635344322136284,0.9054080896009994,0.8622376900812505,0.8969131198657934,0.9450093956380345,0.927707533795413,0.9752955472586867,0.9578122524437732,1.0,0.993907860061247,0.8916198225937556,0.9418463382966954,0.9246876995588806,0.7187133558687689,0.7264836055237047,0.7045289682724954,0.720511163381327,0.6120589133029981,0.6900923441016013,0.618492673486988,0.7552417238649245,0.5319209764474918,0.7261618955786721,0.587414103359998,0.6748566370787856,0.5393275365709812,0.6119302727547474,0.4983237767803093,0.6335620770538237,0.49010574666041645,0.6566708731279244,0.4957401991593203,0.6537204501059359
"No yielding, eHMI on, Distance 4, Can see other person",0.846930639311966,0.90701499811227,0.8460070177719118,0.9407650448566061,0.8944714744843453,0.9624267704566796,0.9568406825441181,0.9694403987853091,0.9109577718252535,0.8675227601360526,0.9024107323293765,0.9508018133389153,0.9333939000525113,0.9812736033686127,0.9636831450198518,1.0061294815984025,1.0,0.8970849898891149,0.9476193680958078,0.930355555797596,0.7231186961580927,0.7309365734153033,0.7088473656190631,0.7249275232987165,0.6158105171492271,0.6943222524259705,0.6222837129478733,0.7598709641137004,0.5351813762844311,0.7306128915550827,0.5910146472971852,0.6789931584173198,0.5426333347819048,0.6156810881011031,0.5013782432001307,0.6374454841465708,0.49310984081584275,0.6606959251609689,0.49877882958765574,0.6577274175753596
"No yielding, eHMI on, Distance 4, Cannot see other person",0.9440918629311273,1.0110691944855554,0.9430622820659204,1.0486911000181713,0.9970866579708432,1.0728378930692413,1.0666109603086653,1.0806561359421896,1.0154642894402384,0.9670463444531422,1.0059367200435712,1.059879302468811,1.0404743258137499,1.0938468644870583,1.0742384009111208,1.1215542484138166,1.1147215829835766,1.0,1.0563317620696555,1.0370874178962615,0.8060760176663689,0.8147907741780982,0.7901674574966202,0.8080923563199088,0.6864572744945213,0.7739760003250002,0.6936730855621509,0.8470445639800807,0.5965782309551101,0.8144299590224899,0.6588167832015985,0.7568883283859731,0.604885089927742,0.6863129971411125,0.5588971489335742,0.7105742391535977,0.5496801823390157,0.7364920075662339,0.5559995264766472,0.7331829480913048
"No yielding, eHMI on, Distance 5, Can see other person",0.8937455985242571,0.9571511818451641,0.892770922856842,0.9927667970179048,0.9439143020912917,1.0156258967043135,1.0097310320565103,1.0230272105279459,0.9613118964165709,0.9154759699343153,0.9522924105516377,1.0033583581660035,0.9849882046291627,1.0355145076239116,1.0169517186592791,1.0617443200007275,1.055276025024107,0.9466722822389764,1.0,0.9817819127811808,0.7630898233023269,0.7713398417384426,0.7480296303392947,0.7649986352172402,0.6498500747052759,0.7327016266258627,0.6566810830368741,0.8018736105411415,0.5647640754323652,0.7709982680316165,0.6236835877307981,0.716525201233193,0.5726279485742239,0.649713491333849,0.5290924395178038,0.6726809366797606,0.5203669927164126,0.6972165696534921,0.5263493406534377,0.6940839747682964
"No yielding, eHMI on, Distance 5, Cannot see other person",0.9103300711585373,0.9749122176571343,0.9093373092684206,1.0111887213379256,0.9614297124474231,1.034471997785394,1.0284677471763108,1.0420106514591678,0.9791501390501047,0.9324636744844538,0.9699632863005131,1.0219768210270865,1.0032657882634028,1.0547296646467217,1.0358224218843772,1.0814462012169588,1.0748578796229122,0.9642388700737557,1.018556144681064,1.0,0.7772498284681724,0.78565293544001,0.7619101763855934,0.7791940605731478,0.6619087867125072,0.7462977440175831,0.668866552223024,0.81675329327427,0.5752439193267554,0.7853050234420609,0.6352567506199359,0.7298211465349045,0.5832537156363881,0.6617696688802791,0.5389103553751532,0.6851633014649838,0.5300229979205086,0.7101542211940173,0.5361163551713856,0.7069634974249048
